,HITId,tweet,sentiment,directness,annotator_sentiment,target,group
0,1,rt @user personnage ainsi q tte la clique gauchiste deguise 1 macronistes !!ont ttes ls qualites requises qui ont etaient inculq,abusive,direct,shock,origin,other
1,2,@user @user @user bah oui t'as raison l'autre c'est un mongol.,offensive,indirect,shock,other,individual
2,3,moi j'ai personne Ã  qui m'adresser pour rÃ©clamer. le voisin c'est un attardÃ© puant et bruyant dans les administratâ¦ @url,hateful,direct,anger_confusion_sadness_fear_disgust,other,women
3,4,@user @user c...est vrai que les anchois sont aller sur la lune et invente de million de technologie !,normal,indirect,indifference,other,other
4,5,eh les renois faut se rÃ©veiller la @url,normal,direct,sadness,origin,african_descent
5,6,@user @user en algerie les migrants sont expulsÃ©s dans le dÃ©sert je crois bien qu'ils ont une autre visionâ¦ @url,offensive,indirect,indifference,other,immigrants
6,7,@user sjw et fÃ©ministe twitter un sale combo,normal,indirect,sadness_indifference,other,women
7,8,@user @user tu sais aussi pourquoi est au dessus ? parce que si veut demain bah ya plus d'ani... @url,normal,indirect,indifference,other,other
8,9,@user @user mytho t'as juste voulu te faire ken par les renois de ton lycÃ©e ils ont pas voulu de toâ¦ @url,offensive,indirect,indifference_disgust,other,individual
9,10,câest un giga attardÃ© mdrrr ils va vraiment se faire shoote @url,offensive,direct,indifference,origin,individual
10,11,#duisburg 4 rÃ©fugiÃ©s arabes lardent de coups de couteau une ado allemande enceinte de 5 mois qui cru quâelle pâ¦ @url,hateful,direct,sadness,origin,arabs
11,12,@user dekoi tu parle jte dis ta ps honte de dire half black lieu de half pakpak attardÃ©,normal,direct,indifference,origin,indian/hindu
12,13,nous aussi nous luttons contre le colonialisme en l'occurrence la colonisation de peuplement africaine et arabo-muâ¦ @url,fearful_abusive_offensive_hateful_normal,direct,confusion_indifference,origin,indian/hindu
13,14,@user @user @user alors pas du tous toi tu es vraiment attardÃ©,abusive_offensive,indirect,indifference,other,individual
14,15,@user sale arabe ( arrÃªte avec tes hontes toi ),offensive_hateful,indirect,anger_indifference,origin,arabs
15,16,le Â«Â sale juifÂ Â» mis en avant contrairement aux autres mdr #lejouroujaibrulemoncoeur,hateful,direct,shock,origin,other
16,17,@user ohhh la violence je meuuurs,normal,indirect,indifference,other,other
17,18,au vu de cette simple declaration difficile de savoir si affaire un neo-nazi un gauchiste ou un islamiste. @url,disrespectful,direct,anger_confusion_fear_indifference_disgust,origin,individual
18,19,@user ce qui est une offense au terrorisme c'est de voir nos dirigeants qui ne font rien quant Ã  la montÃ©eâ¦ @url,abusive,direct,shock,origin,other
19,20,glik tu es un gros mongol,offensive,direct,indifference,origin,indian/hindu
20,21,@user quel mongol ils n'ont qu'Ã  pas donner des salaires monstrueux au moindre joueur de merde qui vient,offensive,indirect,indifference_disgust,other,special_needs
21,22,@user @user @user arrete de t'enerver t'es pas crÃ©dible dirait un gros con de gamin attardÃ© je voiâ¦ @url,abusive_offensive,direct,shock,other,individual
22,23,irl une gauchiste bobo anti-raciste : Â«Â quand je lis @user ou @user de part leurs provocations iâ¦ @url,abusive,direct,anger_confusion_sadness_indifference_fear,origin,left_wing_people
23,24,@user tâa vu gl dirait un attardÃ©...,abusive_offensive,indirect,sadness_disgust,disability,special_needs
24,25,forum islam: au nom de la lutte contre le sÃ©paratisme et le terrorisme l'etat chinois entreprend la dÃ©sislamisatiâ¦ @url,abusive_offensive,direct,fear,origin,indian/hindu
25,26,@user @user @user donne toujours le sale boulot Ã  l arabe de service et ces Ã©nergumÃ¨nes se sentent intÃ©grÃ©s,offensive_disrespectful,indirect,shock,origin,arabs
26,27,@user les renois c'est les premiers Ã  tailler les rebeus mais quand nous les tacle pour rigoler ils sortenâ¦ @url,offensive,indirect,anger_indifference,origin,african_descent
27,28,@user tu te crois intelligent avec ta rÃ©flexion facebook d'attardÃ© ?,offensive,direct,anger_sadness_indifference_disgust,disability,individual
28,29,rt @user c'est con un gauchiste quand meme !!! @url,fearful,direct,anger_sadness_indifference_disgust,origin,asians
29,30,shoutout les daronnes rebeus avec leurs fils adorÃ©s @url,abusive,direct,sadness,origin,indian/hindu
30,31,@user @user l'empire mongol,normal,indirect,sadness,other,other
31,32,@user @user @user et vous vous Ãªtes contres la pma pour tout le monde et contre lâavortement. elâ¦ @url,normal,indirect,indifference,other,other
32,33,@user pour ou contre l'avortement ?,normal,indirect,sadness,other,women
33,34,bordel y'a un sale arabe d'algerien qui insulte mÃ¨re de pute parce que je l'ai supprimÃ© de snap aprÃ¨s qu'il m'aiâ¦ @url,offensive,direct,sadness,origin,asians
34,35,@user @user leur violence contre l'ivg les homosexuels le mariage pour tous est largement cobdamnablâ¦ @url,fearful_abusive_hateful,indirect,indifference,other,individual
35,36,@user @user @user d'autant plus bizarre que flavius josÃ¨phe est restÃ© juif jusqu'au bout des ongles.,normal,indirect,anger_indifference,other,jews
36,37,quand je sors de chez le coiffeur jâsuis vraiment le plus beau de tous les rebeus,normal,direct,anger_fear_indifference_sadness_disgust,origin,muslims
37,38,@user @user @user @user @user @user @user la vraie violence câest de forceâ¦ @url,offensive,indirect,shock,other,other
38,39,mais putain respecte ton chat lui au moins il fait pas le mongol pour attirer l'attention @url,offensive,direct,sadness,origin,other
39,40,peut s'attendre Ã  des lendemains difficiles pour le royaume-uni si jeremy #corbyn islamo-gauchiste de la pirâ¦ @url,disrespectful,direct,indifference,other,left_wing_people
40,41,@user tâes surtout un attardÃ©,offensive,indirect,shock,disability,special_needs
41,42,@user @user oui je ne comprends pas pourquoi ceux qui veulent accueillir les migrants n'en prennent pasâ¦ @url,normal,indirect,indifference,other,immigrants
42,43,@user @user j'essaie de bien comprendre maintenant je sais que quand dit qu'on est antisioniste ilâ¦ @url,normal,indirect,indifference,other,other
43,44,@user quand tu lui dit que la commission est un monstre anti dÃ©mocratique non Ã©lu il te traite de dÃ©bile! il viâ¦ @url,offensive,indirect,indifference,other,individual
44,45,ces dames arabes toujours Ã  se plaindre @url,fearful,direct,sadness,origin,indian/hindu
45,46,@user @user l'Ã©tat civil chez les renois c'est en option aussi.,fearful_abusive_offensive_normal,indirect,indifference,origin,other
46,47,@user @user @user halim95 au lieu d' hurler comme un attardÃ© mental ouvrez les yeux sur les paroleâ¦ @url,offensive,indirect,confusion_fear_indifference_sadness_disgust,other,individual
47,48,@user dirait un gauchiste qui chouine source ?,fearful_abusive_disrespectful_normal,direct,confusion_indifference,other,left_wing_people
48,49,@user j'ai jms dit le contraire sale arabe juste c'est comme si pr ton annif je te paie une ps4 avec red dead,offensive_hateful,indirect,indifference,origin,arabs
49,50,jvois vla les renois comment il parle des blanc sa vnr et tu lui sors c'est raciste il te dis trÃ¨s sereinement â¦ @url,abusive,direct,sadness_indifference,origin,other
50,51,rejetez le machisme blanc vous aurez le machisme africain.,abusive,direct,indifference,origin,african_descent
51,52,doudoune et ugg vraiment les renois abusent #jaimelestylehivermaispaslefroid #jsuisunevraigwada,normal,direct,shock,origin,african_descent
52,53,c est qui le mongol en face bourdin? @url,disrespectful,direct,confusion_shock,origin,individual
53,54,#cedricherrou demande aux politiques franÃ§ais de gÃ©rer des migrants. quid des dirigeants africains + occupÃ©s Ã  s'enâ¦ @url,fearful,direct,anger_confusion_fear_indifference_sadness,origin,other
54,55,je suis coincÃ© Ã  berlin entre une manifestation dâextrÃªme droite contre lâavortement une autre de gauchistes et unâ¦ @url,abusive,direct,shock,origin,individual
55,56,@user @user liebig . comme tout bon gauchiste attise le racisme anti blanc et anti franÃ§ais !!!!,offensive,direct,sadness,origin,left_wing_people
